Course Code,Course Title
SS-2203,Digital Approaches to the Humanities
SS-233,Media Writing
SS-3302,Professional Communication Skills
SSE-101,SSE Tutorials
SWR-102,Swimming for Beginners
SWR-103,Strength Training and Conditioning for Beginners
SWR-104,Basketball for beginners
SWR-105,"Walk, Jog and Stretch for Fitness"
SWR-106,Squash for Beginners Course
SWR-107,Badminton for Beginner Single and Doubles
SWR-108,Volleyball for Beginners Course
TME-6101,Tech-Entrepreneurship
TME-6102,Business Venture Planning
TME-6201,"Technology, Design and Innovation Management"
TME-6202,Technology and Operations Management
